"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","External Voltage","Rear Roll","Rear Heave","Front Heave","Front Roll","InlineAcc","VerticalAcc","RollRate","PitchRate","YawRate","GPS LateralAcc","GPS InlineAcc","GPS Yaw Rate","D4 Gate Driver B","D4 RTD3 Temperat","D3 RTD2 Temperat","D2 RTD1 Temperat","D1 Control Board","D4 Torque Shudde","D3 Motor Tempera","D2 RTD5 Temperat","D1 RTD4 Temperat","D4 Delta Resolve","D3 Electrical Ou","D2 Motor Speed","D1 Motor Angle E","D4 DC Bus Curren","D1 Phase A Curre","D3 Phase C Curre","D2 Phase B Curre","D4 VBC Vq Voltag","D3 VAB Vd Voltag","D2 Output Voltag","D1 DC Bus Voltag","D4 Iq","D3 Id","D2 Flux Feedback","D1 Flux Command","D4 Reference Vol","D3 Reference Vol","D2 Reference Vol","D1 Reference Vol","D7 Direction Com","D6 Inverter Enab","D3 Relay 1 Statu","D3 Relay 3 Statu","D3 Relay 4 Statu","D5 Inverter Comm","D3 Relay 2 Statu","D4 Inverter Run","D2 Inverter Stat","D1 VSM State","D6 Inverter E 01","D4 Inverter Disc","D3 Relay 5 Statu","D6 Start Mode Ac","D3 Relay 6 Statu","D7 BMS Active","D7 BMS Torque Li","D7 Max Speed Lim","D7 Low Speed Lim","D5 Rolling Count","D1 PWM Frequency","D4 Run Fault Hi","D2 Post Fault Hi","D3 Run Fault Lo","D1 Post Fault Lo","D3 Power On Time","D1 Commanded Tor","D2 Torque Feedba","D4 Iq Command","Fast Torque Comm","Fast Torque Feed","Fast Motor Speed","Fast DC Bus Volt","Speed Mode Enabl","Speed Command","Torque Command","Torque Limit Com","D3 Data Command","D1 Parameter  01","SEG1OV","SEG1UV","PEC ERROR","SEG1OT","SEG1UT","SEG2OV","SEG2UT","SEG2OT","SEG2UV","SEG3OV","SEG3UV","SEG3OT","SEG3UT","SEG4OV","SEG4UV","SEG4OT","SEG4UT","SEG5OV","SEG5UV","SEG5OT","SEG5UT","SEG6OV","SEG6UV","SEG6OT","SEG6UT","PACKOC","IMD Fault","D1 HV Input Curr","D2 14V Master Fa","D3 HV Input Curr","D4 DTC Status","D6 14V Monitor","D8 14V Current M","BrakeSensor1","BrakeSensor2","Temperature","APPS1","APPS2","Max Voltage","Min Voltage","Max Voltage Location","Avg Voltage","Min Voltage Location","Max Temperature","Min Temperature Location","Min Temperature","Avg Temperature","Max Temperature Location","Pack Voltage","Pack Current"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","V","mm","mm","mm","mm","g","g","deg/s","deg/s","deg/s","g","g","deg/s","#","#","#","#","°C","#","°C","#","#","#","#","rpm","mm","#","#","#","#","#","#","mV","mV","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","Nm","Nm","#","Nm","#","rpm","#","#","km/h","Nm","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","bar","bar","°C","%","%","mV","mV","#","mV","#","°C","#","°C","°C","#","mV","A"

"28.550","0.3700","15","0.0000","0.0000","-12.4053","42.9335","0.0000","329.7300","22.9850","0.2400","10000.0000","40.86296366","-77.83395305","10.6880","12.8969","33.0625","35.3375","0.0379","0.0985","-1.0029","-0.0750","-0.0714","-0.6938","0.0000","0.0000","0.0000","35.0000","-1000.0000","206.3000","204.9000","33.8000","0.0000","38.2437","-1000.0000","-1000.0000","125.9802","0.0000","0.0000","21.7083","0.0000","-0.4083","-3.0000","0.4000","0.7000","-0.5000","0.9000","392.9802","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.0310","0.0000","-0.0583","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.3726","3.5883","42.0000","-1.0562","-0.9560","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6300","0.2951"
"28.600","0.3337","15","0.0000","0.0000","-20.3949","54.0480","0.0000","329.7150","23.0000","0.2365","10000.0000","40.86296363","-77.83395301","10.6880","12.8984","33.0312","35.3375","0.0731","0.1027","-1.0039","-0.0814","0.0553","-0.7907","0.0000","0.0000","0.0000","35.0000","-1000.0000","206.3000","204.9000","33.8000","0.0000","37.9524","-1000.0000","-1000.0000","125.9000","0.0000","0.0000","21.4750","0.0000","-0.1750","-3.0000","0.4000","0.7000","-0.5406","0.9000","392.8594","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.0810","0.0000","0.0667","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.2125","3.3202","42.0000","-0.6960","-0.8324","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6300","0.2941"
"28.650","0.2565","15","0.0000","0.0000","-31.5962","65.6694","0.0000","329.6978","23.0000","0.2315","10000.0000","40.86296359","-77.83395298","10.6880","12.9125","33.0563","35.3187","0.0371","0.1061","-1.0039","-0.0575","0.1091","-0.8529","0.0000","0.0000","0.0000","35.0000","-1000.0000","206.3000","204.9000","33.8000","0.0000","38.0218","-1000.0000","-1000.0000","125.9000","0.0000","0.0000","21.0583","0.0000","0.2417","-3.0000","0.4000","0.7000","-0.5927","0.9000","392.8073","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.1310","0.0000","0.2750","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.0723","3.0701","42.0000","-1.3162","-1.8653","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6300","0.2931"
"28.700","0.2207","15","0.0000","0.0000","-32.4221","45.2663","0.0000","329.7018","23.0000","0.2230","10000.0000","40.86296359","-77.83395303","10.6913","12.9000","33.0625","35.3375","0.0338","0.1071","-1.0039","-0.0557","0.1207","-0.9170","0.0000","0.0000","0.0000","35.0000","-1000.0000","206.3000","204.9000","33.8000","0.0000","38.1703","-1000.0000","-1000.0000","125.8104","0.0000","0.4479","21.3583","0.0000","0.1656","-2.8656","0.5344","0.7000","-0.5552","0.9000","392.8448","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.1810","0.0000","0.2542","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.9351","2.8360","42.0000","-2.0454","-3.0268","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6300","0.2921"
"28.750","0.2026","15","0.0000","0.0000","-28.8014","11.1386","0.0000","329.7150","23.0000","0.2130","10000.0000","40.86296361","-77.83395312","10.6947","12.9047","33.0687","35.3500","0.0445","0.1050","-1.0044","-0.0884","0.1491","-0.9559","0.0000","0.0000","0.0000","35.0000","-1000.0000","206.3000","204.9000","33.8000","0.0000","38.2000","-1000.0000","-1000.0000","125.7063","0.0000","0.9688","21.7750","0.0000","0.0094","-2.7094","0.6906","0.7000","-0.5031","0.9000","392.8969","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.2310","0.0000","0.2021","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.8226","2.7779","42.0000","-1.8346","-2.6776","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6300","0.2911"
"28.800","0.1924","15","0.0000","0.0000","-25.3541","18.9477","0.0000","329.7241","23.0000","0.2170","10000.0000","40.86296357","-77.83395316","10.6960","12.9125","33.0625","35.4375","0.0420","0.1035","-1.0049","-0.1003","0.1310","-0.9219","0.0000","0.0000","0.0000","35.0000","-1000.0000","206.3000","204.9000","33.8000","0.0000","38.2000","-1000.0000","-1000.0000","125.6021","0.0000","0.5104","21.7510","0.0000","-0.3917","-3.5812","0.1615","0.7490","-0.5490","0.9490","393.1448","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.2810","0.0000","-0.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.7506","2.7551","42.0000","-1.6046","-2.2976","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6300","0.2901"
"28.850","0.1856","15","0.0000","0.0000","-21.9811","44.7297","0.0000","329.7315","23.0000","0.2270","10000.0000","40.86296351","-77.83395318","10.6960","12.9047","33.0625","35.4688","0.0347","0.1047","-1.0059","-0.1027","0.0409","-0.8801","0.0000","0.0000","0.0000","35.0000","-1000.0000","206.3000","204.9000","33.7640","0.0000","37.6871","-1000.0000","-1000.0000","125.4990","0.0000","0.0000","21.7000","0.0000","-0.8021","-4.4938","-0.4094","0.8000","-0.6000","1.0000","393.4031","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.3310","0.0000","-0.4896","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.8631","2.8930","42.0000","-0.8536","-1.2001","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6369","0.2909"
"28.900","0.1970","15","0.0000","0.0000","-22.8284","66.6300","0.0000","329.7211","23.0000","0.2265","10000.0000","40.86296347","-77.83395321","10.6967","12.9281","33.0563","35.5062","0.0381","0.1070","-1.0059","-0.1208","-0.0599","-0.8169","0.0000","0.0000","0.0000","35.0000","-1000.0000","206.3000","204.9000","33.7140","0.0000","36.9941","-1000.0000","-1000.0000","125.4469","0.0000","0.0000","21.7000","0.0000","-0.9062","-4.1813","-0.8781","0.8000","-0.6000","1.0000","393.5594","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.3810","0.0000","-0.2292","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.8968","2.9533","42.0000","-0.0919","-0.0879","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6444","0.2919"
"28.950","0.2162","15","0.0000","0.0000","-25.4845","86.8668","0.0000","329.7031","23.0000","0.2215","10000.0000","40.86296343","-77.83395325","10.7000","12.9203","33.0563","35.5062","0.0561","0.1069","-1.0049","-0.1414","-0.1567","-0.7350","0.0000","0.0000","0.0000","34.9660","-1000.0000","206.3000","204.9000","33.7000","0.0000","37.3942","-1000.0000","-1000.0000","125.3948","0.0000","0.0000","21.7156","0.0000","-0.9167","-3.8063","-1.1958","0.7948","-0.5948","0.9896","393.6948","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.4310","0.0000","0.0312","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.7281","2.8139","42.0000","-1.2479","-0.8036","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6518","0.2929"
"29.000","0.1820","15","0.0000","0.0000","-38.4860","97.1121","0.0000","329.7072","23.0000","0.2060","10000.0000","40.86296339","-77.83395332","10.7033","12.8984","33.0625","35.5625","0.0479","0.1052","-1.0049","-0.1338","-0.2127","-0.6792","0.0000","0.0000","0.0000","34.9175","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.2194","-1000.0000","-1000.0000","125.3427","0.0000","0.0000","21.8719","0.0000","-0.0833","-2.8688","-0.1542","0.7427","-0.5427","0.8854","393.6427","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.4810","0.0000","0.2917","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6379","2.7620","42.0000","-2.7691","-1.8674","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6593","0.2939"
"29.050","0.1251","15","0.0000","0.0000","-55.9213","103.0752","0.0000","329.7208","23.0000","0.1860","10000.0000","40.86296334","-77.83395342","10.7040","12.9000","33.0438","35.6063","0.0285","0.1043","-1.0049","-0.1256","-0.2297","-0.6528","0.0000","0.0000","0.0000","34.8683","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.4020","-1000.0000","-1000.0000","125.2812","0.0000","0.0000","21.9906","0.0000","0.4969","-2.2688","0.5969","0.7094","-0.5094","0.8188","393.5344","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.5310","0.0000","0.4167","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6655","2.8413","42.0000","-2.1027","-2.0021","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6668","0.2949"
"29.100","0.1786","15","0.0000","0.0000","-46.5372","130.3081","0.0000","329.7131","23.0000","0.1940","10000.0000","40.86296325","-77.83395344","10.7040","12.9062","33.0312","35.5625","0.0357","0.1057","-1.0049","-0.1091","-0.2218","-0.6270","0.0000","0.0000","0.0000","34.8188","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.2535","-1000.0000","-1000.0000","125.1771","0.0000","0.0000","21.9385","0.0000","-0.0760","-3.2063","0.0240","0.7615","-0.5615","0.9229","393.1698","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.5810","0.0000","-0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6487","2.8221","42.0000","-1.3452","-2.0981","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6743","0.2959"
"29.150","0.2794","15","0.0000","0.0000","-25.6592","166.6565","0.0000","329.6963","23.0000","0.2140","10000.0000","40.86296314","-77.83395343","10.7040","12.9109","33.0312","35.5438","0.0622","0.1074","-1.0049","-0.1010","-0.2034","-0.6111","0.0000","0.0000","0.0000","34.8602","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.2932","-1000.0000","-1000.0000","125.1406","0.0000","0.0000","21.8594","0.0000","-0.2292","-3.5479","-0.1292","0.7594","-0.5729","0.9594","392.9677","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.6310","0.0000","-0.0813","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.5652","2.6552","42.0000","-0.5337","-1.3650","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6817","0.2969"
"29.200","0.2411","15","0.0000","0.0000","-27.3599","61.0395","0.0000","329.6959","23.0000","0.2060","10000.0000","40.86296308","-77.83395348","10.7040","12.9062","33.0250","35.6000","0.0324","0.1066","-1.0049","-0.0997","-0.2053","-0.6081","0.0000","0.0000","0.0000","34.9573","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.4388","-1000.0000","-1000.0000","125.2969","0.0000","0.0000","21.7031","0.0000","0.8125","-2.1938","0.9125","0.6031","-0.4688","0.8031","393.2281","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.6810","0.0000","0.7000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6069","2.6697","42.0000","0.1818","-0.6649","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6892","0.2979"
"29.250","0.1432","15","0.0000","0.0000","-38.7372","-105.4197","0.0000","329.7025","23.0000","0.1860","10000.0000","40.86296302","-77.83395356","10.7040","12.9328","33.0312","35.6188","0.0284","0.1050","-1.0049","-0.1119","-0.2243","-0.6344","0.0000","0.0000","0.0000","35.0000","-1000.0000","206.3000","204.9000","33.7284","0.0000","38.3277","-1000.0000","-1000.0000","125.3823","0.0000","0.0000","21.6531","0.0000","1.3937","-1.4417","1.4406","0.5354","-0.4354","0.7354","393.3646","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.7310","0.0000","1.1063","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.7739","2.8657","42.0000","-0.6224","-0.7474","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.6967","0.2989"
"29.300","0.1622","15","0.0000","0.0000","-35.1808","-86.8517","0.0000","329.7042","23.0350","0.1975","10000.0000","40.86296305","-77.83395358","10.7073","12.9094","33.0375","35.5938","0.0383","0.1058","-1.0049","-0.1160","-0.2267","-0.6481","0.0000","0.0000","0.0000","35.0000","-1000.0000","206.3000","204.9000","33.7775","0.0000","38.0307","-1000.0000","-1000.0000","125.3302","0.0000","0.0000","21.8094","0.0000","1.0813","-1.8583","0.9719","0.6396","-0.5396","0.8396","393.2604","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","133.7810","0.0000","0.8458","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.8406","2.9441","42.0000","-1.3159","-0.8867","4.0712","4.0638","65.0000","4.0666","37.0000","29.8500","56.0000","25.4500","16.6400","26.0000","70.7042","0.2999"
